	created_at	text	source	retweet_count	favorite_count	year	month	day
3716	2022-06-20 12:52:54	Κορονοϊός 20/6: Ανακοινώθηκαν 11 θάνατοι στη χώρα • 73 νέα κρούσματα στην Αργολίδα  	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	1	0	2022	6	20
3717	2022-06-20 12:52:26	RT @GKakarinos: Εδώ το χθεσινό ρεπορτάζ του ΣΚΑΙ για το επερχόμενο κύμα του #κορονοιος χωρίς την παραμικρή αναφορά στη μαγική λέξη που θα έ…	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	6	0	2022	6	20
3718	2022-06-20 12:52:23	"Κορονοϊός 20/06: 4.832 νέα κρούσματα σήμερα, 11 θάνατοι, 97 διασωληνωμένοι
#ΕΛΛΑΔΑ #Ελλάδα #Κορωνοϊός #κρούσματα…  "	"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>"	0	0	2022	6	20
3719	2022-06-20 12:52:10	Κορονοϊός: Στα 4.832 τα νέα κρούσματα - 11 θάνατοι και 97 διασωληνωμένοι  	"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>"	0	0	2022	6	20
3720	2022-06-20 12:51:16	Κορονοϊός: 4.832 νέα κρούσματα σήμερα στην Ελλάδα - 11 νεκροί και 97 διασωληνωμένοι  	"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>"	3	3	2022	6	20
3721	2022-06-20 12:50:25	Κορονοϊός: 86 νέα κρούσματα στην Ήπειρο, τα 38 στο Νομό Ιωαννίνων  	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0	0	2022	6	20
3722	2022-06-20 12:49:38	Κορονοϊός-Ελλάδα: 11 θάνατοι και 4.832 νέα κρούσματα- 97 διασωληνωμένοι  	"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>"	0	0	2022	6	20
3723	2022-06-20 12:49:33	Κορονοϊός: Σχεδόν 5.000 τα κρούσματα σήμερα, 11 θάνατοι, 97 διασωληνωμένοι  	"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>"	0	0	2022	6	20
3724	2022-06-20 12:48:07	Κορονοϊός 20/06: 4.832 νέα κρούσματα σήμερα, 11 θάνατοι, 97 διασωληνωμένοι -  	"<a href=""https://rp.gr"" rel=""nofollow"">RP Auto Publish </a>"	0	0	2022	6	20
3725	2022-06-20 12:47:59	Πιερία: 24 #κρούσματα - #κορονοϊός: 4.832 νέα #κρούσματα, 11 #θάνατοι και 97 #διασωληνωμένοι | Ολύμπιο Βήμα…  	"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">OlympioBima Twitter</a>"	0	0	2022	6	20
3726	2022-06-20 12:47:57	RT @FKbXDaCt2HDL3sp: Πριν ακόμα βρεθεί το πρώτο κρούσμα Covid19 είχαν ετοιμάσει να εμβολιάσουν όλο το κόσμο. Άρθρο του Γαλλικού περιοδικού…	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	48	0	2022	6	20
3727	2022-06-20 12:47:43	🟥🟥 #Κορονοϊός: 4.832 κρούσματα, 11 θάνατοι και 97 διασωληνωμένοι τη Δευτέρα   	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2022	6	20
3728	2022-06-20 12:47:18	Κορονοϊός - Διασπορά: Πάνω από τα μισά κρούσματα στην Αττική #NEWS247  	"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>"	0	2	2022	6	20
3729	2022-06-20 12:47:03	Στα 4.832 είναι τα κρούσματα που ανακοίνωσε ο ΕΟΔΥ τη Δευτέρα (20/6), ενώ οι θάνατοι των συμπολιτών μας υπολογίζοντ…  	"<a href=""https://www.echobox.com"" rel=""nofollow"">Echobox</a>"	0	0	2022	6	20
3730	2022-06-20 12:46:51	RT @enikos_gr: Κορονοϊός: Τα κρούσματα σήμερα (20/6/2022) – Η ανακοίνωση του ΕΟΔΥ  	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	4	0	2022	6	20
